Date;Hour;Station;Ridership
2025-08-01;6;Hongasandra;0
2025-08-01;7;Hongasandra;0
2025-08-01;8;Hongasandra;0
2025-08-01;9;Hongasandra;0
2025-08-01;10;Hongasandra;0
2025-08-01;11;Hongasandra;0
2025-08-01;12;Hongasandra;0
2025-08-01;13;Hongasandra;0
2025-08-01;14;Hongasandra;0
2025-08-01;15;Hongasandra;0
2025-08-01;16;Hongasandra;0
2025-08-01;17;Hongasandra;0
2025-08-01;18;Hongasandra;0
2025-08-01;19;Hongasandra;0
2025-08-01;20;Hongasandra;0
2025-08-01;21;Hongasandra;0
2025-08-01;22;Hongasandra;0
2025-08-01;23;Hongasandra;0
2025-08-01;0;Hoodi;0
2025-08-01;1;Hoodi;0
2025-08-01;2;Hoodi;0
2025-08-01;3;Hoodi;0
2025-08-01;4;Hoodi;0
2025-08-01;5;Hoodi;12
2025-08-01;6;Hoodi;81
2025-08-01;7;Hoodi;227
2025-08-01;8;Hoodi;352
2025-08-01;9;Hoodi;657
2025-08-01;10;Hoodi;418
2025-08-01;11;Hoodi;229
2025-08-01;12;Hoodi;203
2025-08-01;13;Hoodi;274
2025-08-01;14;Hoodi;261
2025-08-01;15;Hoodi;280
2025-08-01;16;Hoodi;324
2025-08-01;17;Hoodi;602
2025-08-01;18;Hoodi;767
2025-08-01;19;Hoodi;805
2025-08-01;20;Hoodi;549
2025-08-01;21;Hoodi;315
2025-08-01;22;Hoodi;213
2025-08-01;23;Hoodi;117
2025-08-01;0;Hopefarm Channasandra;0
2025-08-01;1;Hopefarm Channasandra;0
2025-08-01;2;Hopefarm Channasandra;0
2025-08-01;3;Hopefarm Channasandra;0
2025-08-01;4;Hopefarm Channasandra;0
2025-08-01;5;Hopefarm Channasandra;2
2025-08-01;6;Hopefarm Channasandra;24
2025-08-01;7;Hopefarm Channasandra;55
2025-08-01;8;Hopefarm Channasandra;87
2025-08-01;9;Hopefarm Channasandra;120
2025-08-01;10;Hopefarm Channasandra;145
2025-08-01;11;Hopefarm Channasandra;109
2025-08-01;12;Hopefarm Channasandra;66
2025-08-01;13;Hopefarm Channasandra;79
2025-08-01;14;Hopefarm Channasandra;95
2025-08-01;15;Hopefarm Channasandra;122
2025-08-01;16;Hopefarm Channasandra;164
2025-08-01;17;Hopefarm Channasandra;220
2025-08-01;18;Hopefarm Channasandra;406
2025-08-01;19;Hopefarm Channasandra;336
2025-08-01;20;Hopefarm Channasandra;226
2025-08-01;21;Hopefarm Channasandra;149
2025-08-01;22;Hopefarm Channasandra;99
2025-08-01;23;Hopefarm Channasandra;58
2025-08-01;0;Hosa Road;0
2025-08-01;1;Hosa Road;0
2025-08-01;2;Hosa Road;0
2025-08-01;3;Hosa Road;0
2025-08-01;4;Hosa Road;0
2025-08-01;5;Hosa Road;0
2025-08-01;6;Hosa Road;0
2025-08-01;7;Hosa Road;0
2025-08-01;8;Hosa Road;0
2025-08-01;9;Hosa Road;0
2025-08-01;10;Hosa Road;0
2025-08-01;11;Hosa Road;0
2025-08-01;12;Hosa Road;0
2025-08-01;13;Hosa Road;0
2025-08-01;14;Hosa Road;0
2025-08-01;15;Hosa Road;0
2025-08-01;16;Hosa Road;0
2025-08-01;17;Hosa Road;0
2025-08-01;18;Hosa Road;0
2025-08-01;19;Hosa Road;0
2025-08-01;20;Hosa Road;0
2025-08-01;21;Hosa Road;0
2025-08-01;22;Hosa Road;0
2025-08-01;23;Hosa Road;0
2025-08-01;0;Huskur Road;0
2025-08-01;1;Huskur Road;0
2025-08-01;2;Huskur Road;0
2025-08-01;3;Huskur Road;0
2025-08-01;4;Huskur Road;0
2025-08-01;5;Huskur Road;0
2025-08-01;6;Huskur Road;0
2025-08-01;7;Huskur Road;0
2025-08-01;8;Huskur Road;0
2025-08-01;9;Huskur Road;0
2025-08-01;10;Huskur Road;0
2025-08-01;11;Huskur Road;0
2025-08-01;12;Huskur Road;0
2025-08-01;13;Huskur Road;0
2025-08-01;14;Huskur Road;0
2025-08-01;15;Huskur Road;0
2025-08-01;16;Huskur Road;0
2025-08-01;17;Huskur Road;0
2025-08-01;18;Huskur Road;0
2025-08-01;19;Huskur Road;0
2025-08-01;20;Huskur Road;0
2025-08-01;21;Huskur Road;0
2025-08-01;22;Huskur Road;0
2025-08-01;23;Huskur Road;0
2025-08-01;0;Indiranagar;0
2025-08-01;1;Indiranagar;0
2025-08-01;2;Indiranagar;0
2025-08-01;3;Indiranagar;0
2025-08-01;4;Indiranagar;0
2025-08-01;5;Indiranagar;33
2025-08-01;6;Indiranagar;185
2025-08-01;7;Indiranagar;415
2025-08-01;8;Indiranagar;1996
2025-08-01;9;Indiranagar;3853
2025-08-01;10;Indiranagar;2862
2025-08-01;11;Indiranagar;1510
2025-08-01;12;Indiranagar;1072
2025-08-01;13;Indiranagar;1054
2025-08-01;14;Indiranagar;832
2025-08-01;15;Indiranagar;907
2025-08-01;16;Indiranagar;1032
2025-08-01;17;Indiranagar;1560
